ticker,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,"$62,510,517,935.00 ",0.26%,"12,575,541",$53.90 ,-1.77%,No,No,-0.17%,5.89%,19.33%,37.28%,30.96%,"$225,490,986.00 ","$225,490,986.00 ","$2,079,273,780.00 ","$5,389,625,916.00 ","$37,984,527,414.00 ","$50,636,707,664.00 ",Emerging Markets Equities,10/18/2012,0.14%,Fidelity,$1.40 ,12/16/2019,$0.91 ,2.58%,12.72,0.89,2469,21.97%,35%,15%,1099,$50.34 ,$55.17 ,$53.76 ,$54.14 ,63.96,A,A,A,B+,B+,B,A,4.06,24.42%,19.26%,328.76,2.88%,4.14%
VTV,Vanguard Value ETF,Equity,"$55,703,517,852.00 ",-0.31%,"1,286,127",$119.48 ,-0.80%,No,No,-0.52%,1.94%,27.56%,38.71%,60.81%,"$39,274,822.64 ","$96,786,050.89 ","$249,417,618.77 ","$4,421,765,551.09 ","$18,256,605,565.11 ","$25,700,010,475.33 ",Large Cap Blend Equities,1/30/2004,0.04%,2 Platforms,$3.71 ,12/24/2019,$0.91 ,3.08%,17.7,0.95,326,23.19%,35%,15%,1099,$116.22 ,$121.29 ,$119.10 ,$119.84 ,62.83,A,A,A,A-,B+,B+,A-,5.35,36.65%,46.22%,301.09,13.90%,5.74%
IJH,iShares Core S&P Mid-Cap ETF,Equity,"$53,469,115,440.00 ",-0.35%,"783,186",$205.09 ,-0.50%,No,No,-0.35%,1.71%,28.14%,29.72%,53.16%,"($30,876,171.00)","$20,519,529.00 ","$435,277,224.00 ","$1,798,835,092.00 ","$8,940,883,884.50 ","$15,756,212,972.00 ",Small Cap Growth Equities,5/22/2000,0.06%,2 Platforms,$3.35 ,12/16/2019,$0.91 ,1.62%,19.8,1.06,401,6.25%,35%,15%,1099,$199.50 ,$208.01 ,$203.80 ,$205.95 ,61.37,A-,A,A,B-,B,B-,B+,4.21,55.62%,21.47%,189.44,5.27%,5.17%
IWF,iShares Russell 1000 Growth ETF,Equity,"$49,661,479,780.00 ",0.65%,"1,267,198",$177.06 ,-0.72%,No,No,0.14%,3.78%,41.23%,74.76%,97.46%,"($114,647,795.50)","($132,391,625.50)","($206,156,280.50)","($2,200,490,896.00)","($3,980,441,025.50)","($1,829,315,483.00)",Large Cap Growth Equities,5/22/2000,0.19%,TD Ameritrade,$1.80 ,12/16/2019,$0.45 ,1.01%,29.21,1.04,531,36.96%,35%,15%,1099,$168.28 ,$179.06 ,$175.94 ,$178.25 ,68,A+,A,A-,A-,A,A-,A,5.91,73.96%,61.41%,40.18,8.86%,5.80%
BND,Vanguard Total Bond Market ETF,Bond,"$49,021,798,726.00 ",0.49%,"3,182,933",$84.27 ,0.36%,No,No,0.35%,0.58%,8.72%,13.05%,16.03%,"$302,023,000.00 ","$369,127,000.00 ","$1,258,239,000.00 ","$9,961,573,000.00 ","$15,768,291,481.00 ","$21,871,746,431.08 ",Total Bond Market,4/10/2007,0.04%,2 Platforms,$2.48 ,12/23/2019,$0.19 ,2.95%,0,-0.05,52,46.16%,35%,15%,1099,$83.59 ,$84.09 ,$84.15 ,$84.34 ,58.97,A,A,A,A-,B+,B+,A+,6.03,66.22%,65.02%,408.82,2.82%,0.96%
IJR,iShares Core S&P Small-Cap ETF,Equity,"$48,270,222,798.00 ",0.01%,"2,949,975",$83.86 ,-0.06%,No,No,0.25%,2.02%,24.59%,27.15%,58.78%,"($565,915,466.50)","($244,069,057.00)","$68,972,107.00 ","$2,826,470,445.50 ","$14,551,184,092.50 ","$48,397,996,504.00 ",Small Cap Growth Equities,5/22/2000,0.07%,2 Platforms,$1.21 ,12/16/2019,$0.41 ,1.44%,17.63,1.13,604,5.18%,35%,15%,1099,$81.36 ,$84.85 ,$83.29 ,$84.18 ,63.52,A-,A,A-,B+,B+,B+,B+,3.46,16.91%,11.85%,116.94,4.10%,5.69%
IWM,iShares Russell 2000 ETF,Equity,"$47,911,700,780.00 ",-0.33%,"15,332,516",$165.13 ,-0.39%,No,No,-0.44%,1.79%,26.54%,27.28%,48.68%,"($298,350,160.00)","$40,710,820.00 ","$501,351,630.00 ","($1,113,647,731.00)","$1,273,199,676.00 ","$5,902,104,869.00 ",Small Cap Growth Equities,5/22/2000,0.19%,N/A,$2.09 ,12/16/2019,$0.60 ,1.26%,17.71,1.16,1996,2.88%,35%,15%,1099,$160.73 ,$167.90 ,$164.08 ,$165.79 ,62.76,B+,A+,A-,C,C+,B,A,3.39,12.70%,10.99%,151.98,3.93%,5.34%
VUG,Vanguard Growth ETF,Equity,"$46,816,357,289.00 ",0.74%,"578,588",$183.52 ,-0.69%,No,No,0.24%,3.91%,42.45%,70.46%,87.27%,"$14,941,331.64 ","$46,453,509.99 ","$213,649,220.05 ","$2,042,888,934.18 ","$6,885,247,016.61 ","$11,324,802,290.80 ",Large Cap Growth Equities,1/30/2004,0.04%,2 Platforms,$2.27 ,12/24/2019,$0.51 ,1.23%,30.5,1.06,276,40.45%,35%,15%,1099,$173.98 ,$185.38 ,$182.45 ,$184.52 ,67.97,A-,A,A,B,B+,A-,A,5.85,71.39%,59.91%,62.83,9.07%,4.98%
IWD,iShares Russell 1000 Value ETF,Equity,"$42,298,325,160.00 ",-0.27%,"1,875,200",$136.11 ,-0.67%,No,No,-0.40%,1.75%,27.65%,30.40%,46.78%,"($205,163,268.00)","($137,188,128.00)","$233,085,087.00 ","($3,284,621,482.00)","($197,109,530.00)","$6,337,143,664.00 ",Large Cap Value Equities,5/22/2000,0.19%,TD Ameritrade,$3.10 ,12/16/2019,$0.90 ,2.26%,17.88,0.96,765,21.66%,35%,15%,1099,$132.66 ,$137.84 ,$135.76 ,$136.45 ,62.83,A,A,A-,B,B+,B,A,5.03,21.70%,39.31%,320.02,12.79%,4.95%
VIG,Vanguard Dividend Appreciation ETF,Equity,"$42,173,841,460.00 ",0.11%,"1,152,761",$124.80 ,-0.43%,No,No,-0.22%,2.18%,33.58%,55.29%,70.78%,"$6,441,624.76 ","$28,672,498.57 ","$647,276,650.45 ","$4,571,031,770.64 ","$8,290,319,765.97 ","$8,353,636,304.91 ",Large Cap Growth Equities,4/27/2006,0.06%,3 Platforms,$2.13 ,12/18/2019,$0.60 ,1.70%,25.5,0.88,182,34.88%,35%,15%,1099,$121.06 ,$125.99 ,$124.31 ,$125.24 ,63.78,A,A,A,B,B+,B+,B,6.75,91.23%,82.06%,240.99,11.23%,5.96%
USMV,iShares Edge MSCI Min Vol USA ETF,Equity,"$37,268,840,791.00 ",0.09%,"4,031,516",$65.66 ,0.06%,No,No,-0.02%,1.74%,30.84%,53.99%,79.38%,"($19,685,099.00)","($39,487,590.00)","$142,328,807.00 ","$12,245,734,081.00 ","$17,461,441,610.00 ","$25,016,281,582.00 ",Large Cap Growth Equities,10/18/2011,0.15%,Fidelity,$1.26 ,12/16/2019,$0.38 ,1.93%,26.19,0.64,210,14.83%,35%,15%,1099,$64.02 ,$65.99 ,$65.32 ,$65.90 ,65.26,A,A,A,A+,A,B+,B,5.42,40.32%,47.97%,385.45,10.07%,4.82%
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$36,754,974,707.00 ",-0.56%,"4,712,289",$92.27 ,0.62%,No,No,0.25%,0.42%,30.12%,26.36%,38.44%,"($100,952,995.32)","($54,467,137.32)","$59,816,365.28 ","$2,757,999,312.97 ","$687,853,801.44 ","$6,286,023,005.91 ",Real Estate,9/23/2004,0.12%,2 Platforms,$3.14 ,12/18/2019,$0.96 ,3.44%,34.6,0.54,182,36.69%,35%,15%,1099,$89.28 ,$93.08 ,$91.38 ,$92.81 ,54.01,A+,A,A,A-,B+,A-,A,4.4,59.41%,24.66%,99.96,0.59%,8.46%
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Bond,"$35,182,419,662.00 ",0.55%,"8,483,933",$128.67 ,0.34%,No,No,0.32%,1.05%,17.60%,21.56%,24.96%,"($179,136,164.00)","($89,498,773.00)","($215,125,301.00)","$828,849,339.00 ","$5,330,125,887.00 ","$13,595,963,972.00 ",Corporate Bonds,7/26/2002,0.15%,2 Platforms,$4.21 ,12/19/2019,$0.34 ,3.29%,0,0.07,2015,3.28%,35%,15%,1099,$127.07 ,$128.49 ,$128.39 ,$128.83 ,61.95,A-,A+,B+,B-,B-,A-,A,4.82,54.05%,34.75%,319.87,9.89%,3.50%
EEM,iShares MSCI Emerging Markets ETF,Equity,"$31,189,476,195.00 ",0.13%,"56,960,584",$44.93 ,-1.86%,No,No,-0.31%,5.89%,19.52%,36.77%,28.81%,"$967,388,184.00 ","$967,388,184.00 ","$2,595,841,911.00 ","($2,325,494,191.50)","($1,607,147,001.00)","($4,598,048,439.00)",Emerging Markets Equities,4/11/2003,0.67%,N/A,$0.97 ,12/16/2019,$0.66 ,2.15%,12.77,0.92,1214,24.59%,35%,15%,1099,$41.98 ,$46.10 ,$44.81 ,$45.16 ,63.22,A-,A+,B-,B,B,B,A,4.14,30.45%,20.34%,319.97,2.85%,4.30%
VYM,Vanguard High Dividend Yield ETF,Equity,"$30,017,334,792.00 ",-0.51%,"1,297,084",$93.23 ,-0.79%,No,No,-0.68%,1.91%,25.50%,35.18%,58.70%,"($49,190,904.94)","($18,419,110.48)","$519,325,628.55 ","$4,149,579,413.75 ","$7,837,541,131.22 ","$13,345,628,309.16 ",Large Cap Blend Equities,11/16/2006,0.06%,2 Platforms,$3.58 ,12/23/2019,$0.78 ,3.81%,17.9,0.88,399,26.87%,35%,15%,1099,$90.72 ,$94.80 ,$92.95 ,$93.52 ,61.66,A+,A,A,B+,A,A-,A-,5.49,40.35%,49.58%,367.14,9.40%,7.04%
VO,Vanguard Mid-Cap Index ETF,Equity,"$29,175,011,984.00 ",-0.09%,"500,989",$178.02 ,-0.45%,No,No,-0.01%,2.32%,33.91%,41.67%,55.46%,"$179,964,685.94 ","$226,318,173.34 ","$42,986,297.40 ","$1,541,340,531.06 ","$5,505,714,746.43 ","$11,294,924,096.62 ",Mid Cap Growth Equities,1/30/2004,0.04%,2 Platforms,$3.34 ,12/24/2019,$0.99 ,1.87%,22.1,1.01,337,6.69%,35%,15%,1099,$172.22 ,$179.86 ,$177.27 ,$178.52 ,64.22,A,A,A,A-,A-,A,B-,4.94,86.07%,37.12%,352.19,4.84%,4.82%
VB,Vanguard Small Cap ETF,Equity,"$27,430,451,486.00 ",-0.19%,"509,966",$165.33 ,-0.36%,No,No,-0.26%,1.74%,29.41%,33.95%,53.18%,"$42,504,676.83 ","($43,222,111.23)","$60,378,198.24 ","$986,416,242.55 ","$5,904,233,958.10 ","$10,783,811,180.33 ",Small Cap Growth Equities,1/30/2004,0.05%,2 Platforms,$3.02 ,12/24/2019,$0.89 ,1.82%,20,1.1,1342,3.32%,35%,15%,1099,$160.74 ,$167.41 ,$164.40 ,$165.96 ,62.62,A,A,A,A-,A,A+,A-,3.9,39.25%,17.06%,142.55,4.59%,5.55%
XLK,Technology Select Sector SPDR Fund,Equity,"$26,343,388,345.00 ",0.73%,"8,891,894",$92.34 ,-1.12%,No,No,0.47%,5.56%,58.86%,99.25%,142.17%,"$162,628,913.50 ","($159,179,321.50)","($420,518,395.50)","$479,788,006.50 ","($212,575,986.50)","($931,215,650.65)",Technology Equities,12/16/1998,0.13%,N/A,$1.06 ,12/20/2019,$0.29 ,1.13%,22.73,1.14,71,65.50%,35%,15%,1099,$86.02 ,$93.80 ,$91.91 ,$92.87 ,68.3,A,A+,A,C+,A+,A-,B+,6.15,75.00%,68.50%,22.23,0.33%,5.24%
VEU,Vanguard FTSE All-World ex-US ETF,Equity,"$26,058,517,741.00 ",0.00%,"2,390,725",$53.75 ,-1.27%,No,No,-0.35%,3.27%,23.17%,33.19%,33.53%,"$1,343,617.44 ","$4,136,555.07 ","$319,216,478.85 ","$372,717,624.47 ","$7,768,096,267.03 ","$11,110,723,018.67 ",Foreign Large Cap Equities,3/8/2007,0.09%,2 Platforms,$2.11 ,12/23/2019,$0.58 ,3.89%,15.1,0.86,1129,10.20%,35%,15%,1099,$51.58 ,$54.70 ,$53.64 ,$53.95 ,62.78,A,A+,A,B,B,A-,A,6.15,16.35%,68.70%,205.54,9.09%,5.82%
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Bond,"$25,941,906,375.00 ",0.42%,"1,819,044",$91.71 ,0.28%,No,No,0.34%,0.86%,13.84%,18.22%,24.82%,"$73,094,438.75 ","$82,222,745.35 ","$246,632,615.77 ","$5,345,000,250.97 ","$13,986,999,087.85 ","$19,903,303,288.06 ",Corporate Bonds,11/23/2009,0.05%,2 Platforms,$3.09 ,12/23/2019,$0.26 ,3.38%,0,0.02,76,16.11%,35%,15%,1099,$90.71 ,$91.55 ,$91.55 ,$91.82 ,62.25,A+,A,B+,A,B+,A-,A,4.82,54.95%,34.78%,429.11,8.33%,3.51%
VCSH,Vanguard Short-Term Corporate Bond ETF,Bond,"$25,808,173,400.00 ",0.14%,"1,624,684",$81.14 ,0.14%,No,No,0.20%,0.53%,6.62%,10.23%,14.34%,"$72,948,106.29 ","$64,874,150.29 ","$186,394,195.00 ","$4,650,248,322.35 ","$9,634,440,706.53 ","$16,347,260,083.01 ",Corporate Bonds,11/23/2009,0.05%,2 Platforms,$2.33 ,12/23/2019,$0.20 ,2.88%,0,0.01,65,19.75%,35%,15%,1099,$80.59 ,$81.08 ,$81.08 ,$81.18 ,66.02,A,A,A-,A-,A,B-,A,4.88,20.27%,35.89%,245.08,7.52%,3.23%
VGT,Vanguard Information Technology ETF,Equity,"$25,785,338,071.00 ",0.76%,"476,869",$246.72 ,-1.05%,No,No,0.44%,5.31%,57.45%,110.34%,151.96%,"$106,160,886.12 ","$106,480,874.48 ","$502,007,930.85 ","$583,969,563.07 ","$3,267,505,504.14 ","$5,538,913,303.74 ",Technology Equities,1/30/2004,0.10%,Vanguard,$2.72 ,12/16/2019,$0.65 ,1.09%,26.6,1.19,323,57.31%,35%,15%,1099,$230.31 ,$250.44 ,$245.62 ,$248.11 ,68.16,A+,A,A,B-,A,A-,A+,6,69.77%,63.94%,23.04,0.80%,5.23%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,"$25,272,877,564.00 ",0.14%,"1,380,002",$72.79 ,-0.61%,No,No,-0.15%,2.87%,33.94%,50.51%,71.30%,"$54,942,487.50 ","$54,942,487.50 ","$144,719,526.50 ","$5,130,670,164.00 ","$13,735,239,931.50 ","$17,763,505,255.50 ",Large Cap Growth Equities,1/20/2004,0.03%,Fidelity,$1.49 ,12/16/2019,$0.45 ,2.03%,22.01,1.01,3673,19.07%,35%,15%,1099,$70.01 ,$73.69 ,$72.47 ,$73.07 ,66.76,A,A-,A,A-,A-,A,A,5.35,36.36%,46.16%,175.35,10.44%,5.38%
IVW,iShares S&P 500 Growth ETF,Equity,"$24,940,467,200.00 ",0.62%,"410,747",$194.84 ,-0.73%,No,No,0.18%,3.58%,35.31%,67.04%,88.15%,"$38,741,054.00 ","$29,078,999.00 ","($162,596,431.00)","($1,166,748,092.00)","$580,871,137.50 ","$2,170,994,028.50 ",Large Cap Growth Equities,5/22/2000,0.18%,Fidelity,$3.15 ,12/16/2019,$1.19 ,1.60%,28.06,0.99,273,38.65%,35%,15%,1099,$185.67 ,$196.70 ,$193.74 ,$195.86 ,68.03,A,A,A-,A,A-,A,A-,5.84,70.66%,59.57%,132.84,12.66%,6.02%
XLF,Financial Select Sector SPDR Fund,Equity,"$24,776,300,626.00 ",-0.10%,"41,985,380",$30.75 ,-1.06%,No,No,-0.06%,1.79%,33.64%,39.74%,67.17%,"$383,626,459.50 ","$150,648,013.00 ","($2,104,717,256.50)","($4,835,230,778.00)","($4,020,957,089.00)","($176,545,603.20)",Financials Equities,12/16/1998,0.13%,N/A,$0.57 ,12/20/2019,$0.16 ,1.85%,13.92,1.14,67,55.69%,35%,15%,1099,$29.96 ,$31.17 ,$30.60 ,$30.89 ,61.28,A,A+,A,A-,B+,B-,B+,4.26,30.04%,22.45%,39.71,12.73%,0.24%
BNDX,Vanguard Total International Bond ETF,Bond,"$24,610,329,487.00 ",0.55%,"1,635,252",$56.89 ,0.28%,No,No,0.32%,0.55%,8.21%,14.07%,20.10%,"$130,265,073.03 ","$273,192,025.03 ","$822,863,727.93 ","$11,172,663,134.58 ","$17,954,183,348.77 ","$20,956,243,077.18 ",Total Bond Market,6/4/2013,0.09%,Vanguard,$2.97 ,12/23/2019,$1.35 ,5.23%,0,-0.02,5791,5.09%,35%,15%,1099,$56.52 ,$56.81 ,$56.84 ,$56.92 ,55.65,A-,A,B+,A,B+,C+,N/A,6.15,75.51%,68.64%,108.32,1.49%,0.81%
BSV,Vanguard Short-Term Bond ETF,Bond,"$22,570,324,309.00 ",0.16%,"1,379,869",$80.74 ,0.09%,No,No,0.21%,0.39%,4.82%,7.83%,10.18%,$0.00 ,"$112,786,000.00 ","$426,678,000.00 ","($6,031,904,000.00)","$2,778,774,000.00 ","$6,817,943,973.95 ",Total Bond Market,4/10/2007,0.07%,3 Platforms,$1.99 ,12/23/2019,$0.15 ,2.47%,0,-0.03,33,76.73%,35%,15%,1099,$80.30 ,$80.67 ,$80.70 ,$80.78 ,62.18,A,A,A,A-,A,C+,A,6.24,82.11%,70.85%,217.74,1.99%,0.84%
DIA,SPDR Dow Jones Industrial Average ETF,Equity,"$22,514,329,172.00 ",0.43%,"2,238,137",$286.32 ,-0.80%,No,No,0.00%,2.31%,29.15%,54.80%,80.65%,"($87,406,336.00)","($228,993,509.00)","($459,185,187.00)","($1,331,381,937.50)","$238,252,825.50 ","$761,638,862.11 ",Large Cap Growth Equities,1/14/1998,0.17%,N/A,$5.95 ,12/20/2019,$0.87 ,2.06%,19.13,0.98,31,53.28%,35%,15%,1099,$276.60 ,$288.99 ,$285.30 ,$287.23 ,63.47,A-,A+,A-,A,B-,B+,C,5.97,77.23%,63.23%,44.9,12.10%,2.57%
IWB,iShares Russell 1000 ETF,Equity,"$22,353,400,000.00 ",0.22%,"894,117",$178.82 ,-0.63%,No,No,-0.06%,2.93%,34.63%,51.79%,71.50%,"($17,850,336.00)","($44,544,291.00)","$26,663,179.00 ","($578,014,130.00)","$817,310,079.50 ","$5,640,624,432.00 ",Large Cap Growth Equities,5/15/2000,0.15%,TD Ameritrade,$3.06 ,12/16/2019,$0.84 ,1.70%,22.35,1,998,20.79%,35%,15%,1099,$171.84 ,$180.94 ,$178.08 ,$179.48 ,67.42,A,A,A-,B,B,B+,A,5.5,44.88%,49.78%,176.63,10.91%,5.39%
IWR,iShares Russell Midcap ETF,Equity,"$21,686,118,318.00 ",-0.05%,"1,038,245",$59.59 ,-0.37%,No,No,-0.12%,2.18%,32.87%,39.33%,54.23%,"$62,753,477.00 ","$62,753,477.00 ","$224,315,491.00 ","$676,692,022.50 ","$2,370,360,684.00 ","$4,258,443,499.00 ",Mid Cap Growth Equities,7/17/2001,0.19%,N/A,$0.85 ,12/16/2019,$0.26 ,1.42%,21.16,1.01,803,5.50%,35%,15%,1099,$57.76 ,$60.23 ,$59.26 ,$59.79 ,64.92,A-,A,A-,B+,B+,B,A,4.85,83.55%,35.38%,287.05,6.20%,4.94%
MBB,iShares MBS Bond ETF,Bond,"$21,181,229,678.00 ",0.20%,"1,197,228",$108.28 ,0.08%,No,No,0.12%,0.38%,5.81%,9.94%,10.49%,"$21,640,036.00 ","$21,640,036.00 ","$831,017,314.00 ","$8,099,298,520.00 ","$11,597,324,670.00 ","$14,160,987,662.00 ",Mortgage Backed Securities,3/16/2007,0.06%,2 Platforms,$2.99 ,12/19/2019,$0.06 ,2.76%,0,-0.04,8808,12.46%,35%,15%,1099,$107.69 ,$108.22 ,$108.24 ,$108.32 ,60.36,A,A+,B,B+,A-,B+,A,N/A,N/A,N/A,N/A,N/A,N/A
